,id,product_type,product_name,color_description,scent_description,taste_description,fruit_tasting,sugar_tasting,acidity_tasting,tannin_tasting,harmonizes_with,technical_sheet_wine_type,technical_sheet_volume,technical_sheet_closure_type,technical_sheet_service_temperature_in_celsius,technical_sheet_country,technical_sheet_region,technical_sheet_alcohol_content,technical_sheet_grapes,technical_sheet_producer,technical_sheet_crop_year,technical_sheet_cellaring_time,technical_sheet_maturation_time,specialist_review_content,specialist_review_owner,specialist_review_occupation,url
634,446,Vinho tinto espanhol,Pecatis Tuis Roble Tempranillo 2022,Vermelho-rubi com reflexos violáceos,Amoras e cerejas com toques de baunilha,"Macio e redondo, com final prolongado",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Espanha,Castilla y León,13,Tempranillo,Bodegas Cuatro Rayas,2022,2025,3 meses em barris de carvalho,"Pecatis Tuis expressa a exuberância da Tempranillo cultivada nos solos de Castilla y León em aromas de frutas vermelhas e negras com notas de baunilha. Em boca, é estruturado, persistente e tem taninos sedosos. Resumindo: um ótimo exemplar para degustar no dia a dia e para deixar suas refeições mais saborosas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/bodegas-cuatro-rayas-tempranillo-pecatis-tuis-roble-tp-2022.html
636,448,Vinho tinto chileno,Sublime Terroir Red Blend Partidas Limitadas 2024,Vermelho-rubi intenso,"Aromas de frutas vermelhas, como framboesa, e notas de cereja e figo","Macio e vivo, com final persistente e refrescante",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Chile,Valle Central,12.5,"Blend, Uvas variadas",Cremaschi,2024,2025,Estágio em tanques de aço inoxidável,"Elaborado com uvas cultivadas nos ricos solos do Valle Central, este blend reflete toda a essência do terroir local. De caráter macio e vivo, com final persistente e refrescante em boca, ele apresenta aromas de frutas vermelhas, como framboesa, e notas de cereja e figo. Perfeito para ser apreciado sozinho, ele também é uma ótima opção para harmonizar com carnes grelhadas e massas ao molho vermelho.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/cremaschi-sublime-red-blend.html
637,515,Vinho tinto italiano,San Donato Rattalino Selection Barolo DOCG 2019,Vermelho-granada intenso com reflexos rubi,"Expressivo e complexo, com notas de ameixa e cereja silvestre, e nuances de pimenta preta, tabaco e alecrim","Potente, elegante e intenso, com taninos e acidez marcantes, e final persistente",4,1,5,5,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha natural,18,Itália,Piemonte,14,Nebbiolo,Massimo Rattalino,2019,2025,38 meses em barricas de carvalho,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/san-donato-rattalino-selection-barolo-docg-2019.html
639,465,Vinho branco português,António Maçanita Palpite Reserva Alentejano 2018,Amarelo-palha brilhante,"Limão siciliano, abacaxi, pera e um leve toque lácteo decorrente do processo de battonage",Encorpado e com acidez bem marcada. Um vinho estruturado e com final de boca longo e fresco,4,1,4,1,"Carnes brancas, Frutos do mar, Risoto e massas de molho branco, Saladas e aperitivos",Vinho branco,750ml,Rolha,9,Portugal,Alentejo,13,Uvas variadas,António Maçanita,2018,2025,12 meses em borra fina e barricas de carvalho francês,"Palpite Reserva traz uma mistura de uvas que possui um papel fundamental na estrutura do vinho: a Antão Vaz traz a tipicidade alentejana; a Verdelho aporta aromas de frutas tropicais; a Arinto acrescenta a acidez necessária ao rótulo; a Alicante Branco oferece untuosidade e aromas cítricos; e, por fim, a Tamarez acarreta volume e ainda mais sabor ao líquido. Colhidas à mão, as castas são fermentadas em barricas e passam por um processo de envelhecimento juntamente com as borras, o que faz com que o vinho tenha notas lácteas e volume em boca.",Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/palpite-branco-2018-202311.html
642,472,Vinho rosé francês,Les Calandières Rosé Terres du Midi IGP 2023,Rosa pálido com reflexos brilhantes,"Aroma de frutas vermelhas, com notas florais e cítricas","Refrescante e leve, com notas de frutas vermelhas frescas",5,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho rosé,750ml,Rolha de cortiça,8,França,Languedoc-Roussillon,12,Uvas variadas,Maison Castel,2023,2025,,"Esta edição do best seller Les Calandières é um convite para conhecer Terres du Midi, uma classificação do vinho francês estabelecida recentemente, em 2018. Situada no Languedoc-Roussillon, região com temperaturas mais altas, é o terroir responsável pelo caráter frutado, versátil e fácil de beber deste rosé que deixa qualquer ocasião mais leve e descontraída.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/les-calandieres-rose-terres-du-midi-igp-2023.html
643,475,Vinho tinto francês,Château de Ribebon Bordeaux Supérieur AOC 2019,Vermelho profundo com tons violáceos,"Notas de cassis, amoras e especiarias com toques de chocolate amargo ao final",Frutas e especiarias com taninos refinados e final fresco,3,1,2,3,"Carnes de caça, Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,França,Bordeaux,13.5,Blend,Domaines Alain Aubert,2019,2025,24 meses em tanques de aço inoxidável,"Este Bordeaux foi elaborado em propriedades de uma família que se dedica à vitivinicultura desde o século XVII. Com o clássico assemblage de Merlot, Cabernet Sauvignon e Cabernet Franc, é macio e complexo. Minha dica é apreciá-lo com calma, para que ele possa liberar o melhor de seus aromas e sabores.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/domaines-alain-aubert-chateau-de-ribebon-bordeaux-superieur-blend-2019.html
645,480,Vinho tinto europeu,Baron Guillot Classique Esprit de Vigneron 2022,Vermelho intenso,"Morango fresco, amoras e cereja fresca","Corpo leve, bom equilíbrio, taninos macios",4,1,2,2,"Pizzas e massas de molho vermelho, Queijos, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha de cortiça,15,Europeu,Várias regiões,11,Uvas variadas,Domaine du Père Guillot,2022,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/baron-guillot-classique-2022-340311.html
646,481,Vinho tinto sul-africano,The African Horizon Shiraz Western Cape W.O. 2023,Vermelho-rubi profundo,"Aromas de ameixa e amora, com notas de pimenta-do-reino","Corpo médio e elegante, com taninos macios e final frutado",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Tampa de rosca,18,África do Sul,Western Cape,13,Shiraz,Origin Wine,2023,2025,,"Conhecida pela influência marítima em seus vinhedos e grande amplitude térmica, a região de Western Cape oferece condições ideais para o cultivo da uva Shiraz. E para apresentar a vitivinicultura da região, esta versão de African Horizon expressa as singularidades da casta quando elaborada nesses ricos solos. Estamos falando de um vinho elegante, que revela corpo médio, taninos macios e final frutado em boca, enquanto ressalta aromas de frutas pretas ao nariz, com notas de especiarias. Para uma experiência de harmonização completa, sugerimos apostar em kafta de cordeiro, costelinha suína ao molho barbecue e lasanha de berinjela.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/origin-wine-the-african-horizon-syrah-2023.html
647,536,Vinho tinto chileno,Mancura Ethikós Carménère Valle Central 2023,Vermelho-rubi intenso com reflexos púrpura,"Frutas vermelhas maduras, com toques de canela, baunilha e pimenta"," Macio e agradável, com taninos firmes e acidez moderada",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Chile,Valle Central,13,Carménère,Mancura,2023,2025,,"Produzida a partir da uva Carménère, esta versão da linha Ethikós é perfeita para celebrar os bons momentos do dia a dia. De caráter equilibrado, esse rótulo proporciona uma experiência prazerosa e única a quem o aprecia. Com aromas de frutas vermelhas maduras, aliados a toques de canela, baunilha e pimenta, ele encanta por meio de seu paladar macio e agradável, com taninos firmes e acidez moderada.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/ethikos-by-mancura-carmenere-2023.html
648,482,Espumante Branco brasileiro,Baby Chandon Réserve Brut - 187 mL,"Amarelo esverdeado com reflexos dourados, borbulhas finas e espuma abundante","Aromas elegantes, com notas de frutas cítricas, frutas secas, flores brancas e pães","Vibrante, vivaz, refrescante, frutado e fácil de beber",4,1,4,1,"Carnes brancas, Frutos do mar, Queijos",Espumante Branco,187ml,Tampa de rosca,4,Brasil,Rio Grande do Sul,11.8,"Chardonnay, Pinot Noir, Riesling Itálico",Chandon,,2025,Estágio em tanques de aço inoxidável,"A Chandon do Brasil escolheu regiões de colinas verdejantes e riqueza natural ímpar para, em 1973, fincar suas raízes. Garibaldi e Encruzilhada do Sul foram palco para o cultivo das uvas Chardonnay, Riesling Itálico e Pinot Noir que originaram o Chandon Réserve Brut. Com aromas frutados e florais, este espumante frutado expressa a brasilidade da vinícola por meio de um paladar vivaz e agradável. Nesta versão ideal para presentear, você garante 187 mLs de um rótulo que é sinônimo de qualidade e elegância.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/baby-chandon-reserve-brut-187-ml-26951.html
649,517,Vinho tinto argentino,Vientos de Altura Cabernet Sauvignon 2024,Vermelho-rubi,"Aromas de frutas pretas, e notas de especiarias e pimenta","Versátil, com taninos macios e maduros, e final longo e persistente",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13,Cabernet Sauvignon,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vientos-de-altura-cabernet-sauvignon-2024.html
650,486,Vinho tinto italiano,Famiglia Rocca Collezione Oro Cuvée Barrel Aged Rosso Salento IGT 2022, Vermelho-rubi intenso com reflexos violáceos,"Aromas de frutas vermelhas maduras, especiarias e nuances de carvalho","Textura rica, taninos macios e final persistente ",4,2,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Puglia,14,"Negroamaro, Primitivo",Angelo Rocca e Figli Srl,2022,2025,Estágio em barricas de carvalho francês,"Conhecida como o lar da Negroamaro, a região de Salento, uma das denominações mais famosas da Puglia, também oferece condições ideais para o cultivo da Primitivo. Nesta versão de Collezione Oro, elaborada pela célebre vinícola Rocca, este blend reúne a complexidade de aromas, sabores, maciez e equilíbrio dessas icônicas uvas. Estamos falando de um vinho que revela aromas de frutas vermelhas maduras, especiarias e nuances de carvalho ao nariz, enquanto em boca apresenta textura rica, taninos macios e final persistente. O resultado é um rótulo que conquistou 95 pontos do renomado crítico Luca Maroni. Para uma experiência de harmonização completa, nossa dica é apostar em berinjela à parmegiana, alcatra grelhada e fettuccine ao molho de tomate.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/angelo-rocca-cuvee-barrel-aged-rosso-salento-igt-2022.html
651,487,Vinho tinto argentino,Punta Negra Block 7 Malbec 2022,Vermelho-rubi intenso,"Complexo, com notas de cassis e cerejas pretas, além de nuances defumadas","Elegante, rico, profundo, com taninos macios e persistentes",4,1,2,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13.7,Malbec,Belhara Estate,2022,2025,,"Diversas versões da linha Punta Negra já conquistaram as adegas dos nossos clientes — e agora é a vez dos rótulos nomeados “Block” alcançarem esse legado. Idealizados pelo consagrado enólogo e diretor da vinícola Belhara Estate, Stephen Paul Huse, os exemplares têm a proposta de expressar as características de Gualtallary, uma sub-região do Valle de Uco. Elaborado com uvas Malbec colhidas do bloco de vinha 7 da propriedade — ou Block 7 —, este rótulo leva às taças um líquido elegante, rico e profundo, com taninos macios e persistentes. Além disso, revela aromas complexos de cassis e cerejas pretas, com nuances defumadas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/punta-negra-block-7-malbec-single-vineyard-2022.html
652,489,Vinho tinto italiano,Infinitum Primitivo Puglia IGT 2023,Vermelho-rubi intenso com reflexos violeta,"Notas de frutas pretas maduras, como ameixas e cerejas","Aveludado, com taninos suaves e acidez refrescante",4,2,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha sintética,16,Itália,Puglia,13,Primitivo,Deangeli Musti Nobilis,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vini-de-angeli-infinitum-primitivo-puglia-igt.html
653,491,Vinho tinto espanhol,Enterizo Bobal-Tempranillo Utiel-Requena DOP 2023,Vermelho-cereja intenso com reflexos violáceos ,"Expressivo, estruturado e agradável, com notas de framboesa e amora","Agradável, redondo, com boa estrutura, e nuances de morango",4,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Utiel-Requena,12.5,"Bobal, Tempranillo",Bodegas Coviñas,2023,2025,,"Tempranillo é uma das uvas mais célebres na Espanha, sendo considerada a rainha da vitivinicultura do país. Já a Bobal tem ganhado cada vez mais prestígio, alcançando adegas mundo afora com sua versatilidade. Nesta versão de Enterizo, ambas as castas cultivadas na denominação de Utiel-Requena se unem, originando um vinho com goles agradáveis, redondos e estruturados, além de aromas expressivos de framboesa e amora.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/enterizo-bobal-tempranillo-2021-319822.html
655,539,Vinho tinto chileno,Pioneers Cabernet Sauvignon 2024,Vermelho-rubi,"Corpo médio, bem equilibrado, com elegantes toques de madeira queimada",Rico e longo,4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Cabernet Sauvignon,Cremaschi Furlotti,2024,2025,,"A história da viticultura do Chile começou com a chegada dos primeiros imigrantes ao país: além de vinho, eles trouxeram videiras na bagagem. A seleção Pioneers faz uma homenagem aos que iniciaram a arte da vinificação nos terroirs chilenos. Na versão Cabernet Sauvignon, uvas colhidas à mão deram origem a um líquido equilibrado, e elegante, com corpo médio e notas de ameixas e cerejas maduras.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/pioneers-cabernet-sauvignon-2024.html
656,494,Vinho tinto chileno,De Martino Organic Reserve Cabernet Sauvignon Valle del Maipo D.O. 2021,Púrpura intenso,"Amora fresca, cassis, cereja madura, violetas e um toque de cacau e especiarias","Encorpado, textura macia, taninos maduros, acidez fresca e final longo",3,1,4,4,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Chile,Valle del Maipo,14,Cabernet Sauvignon,De Martino,2021,2025,6 meses em barricas de carvalho francês,"De Martino é uma célebre vinícola chilena e que foi pioneira no cultivo de vinhas orgânicas no Chile. A linha Organic Reserve busca transmitir a pureza do terroir do Valle del Maipo. As uvas deste vinho são originárias de vinhedos plantados na década de 1990 em Isla De Maipo, coração do Valle. O solo da região é de cascalho, o melhor para o cultivo da Cabernet Sauvignon. Após 6 meses em barricas de carvalho francês, este rótulo atinge seu esplendor com notas de frutas escuras, cacau e um toque de especiarias.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/de-martino-organic-reserve-cabernet-sauvignon-2021-348451.html
657,500,Vinho branco espanhol,Abadía del Roble White La Mancha D.O,Amarelo pálido,"Aromas de frutas brancas e cítricas, e notas florais","Refrescante, equilibrado e delicado",4,1,3,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho branco,750ml,Rolha sintética,10,Espanha,La Mancha,12,Airén,Bodegas Ayuso,,2025,,"A sedutora Airén traz toda a graciosidade e encanto de uma das regiões espanholas mais elegantes: Castilla-La Mancha, que foi palco da elaboração de um rótulo elegante e de personalidade singular. O resultado é um exemplar com aromas de frutas brancas e cítricas, com notas florais, e paladar refrescante, equilibrado e delicado.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/abadia-del-roble-white-la-mancha-do-9451.html
658,501,Vinho tinto argentino,Punta Negra Reserva Malbec Single Vineyard 2023,Vermelho-rubi intenso com reflexos violáceos,"Aromas intensos de frutas pretas, como cassis e cereja, e notas de especiarias","Agradável e frutado, com corpo médio e taninos macios",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,14,Malbec,Belhara Estate,2021,2025,Estágio em barricas de carvalho francês,"Punta Negra Reserva foi elaborado a partir de uvas Malbec cultivadas nos solos do Valle de Uco, em Mendoza. A casta ícone da Argentina se beneficiou da amplitude térmica do território para originar um vinho concentrado, mas também bastante fresco. Na taça, espere encontrar aromas de frutas pretas, combinados a um paladar agradável, com taninos macios e corpo médio. Para harmonizar, um delicioso churrasco é a pedida ideal. *Devido a uma alteração de lote, o teor alcoólico pode variar de 13,8% a 15%.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/punta-negra-reserva-malbec-23.html
659,521,Vinho tinto espanhol,Celsum Garnacha Cariñena DOP 2022, Vermelho cereja brilhante,"Aromas expressivos de frutas vermelhas, e notas de pimenta branca","Elegante, aveludado, equilibrado e persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Cariñena,14,Garnacha,Bodegas San Valero,2022,2025,Estágio em barricas de carvalho,"Produzido com uvas colhidas de vinhas velhas na célebre região vinícola de Cariñena, na Espanha, Celsum Garnacha é o vinho perfeito para tornar qualquer momento ainda mais especial. Envelhecido em barricas de carvalho, este rótulo é elegante, aveludado, equilibrado e persistente em boca, enquanto no nariz revela aromas expressivos de frutas vermelhas, e notas de pimenta branca. Para uma experiência de harmonização completa, sugerimos apostar em paella de legumes, espaguete à carbonara e tábua de queijo Manchego e presunto ibérico.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/san-valero-celsum-blend.html
661,526,Vinho tinto argentino,Atardecer De Los Andes Red Blend 2024,Vermelho-rubi intenso,Notas de frutas vermelhas,"Boa acidez, taninos macios, corpo médio",4,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12.5,Uvas variadas,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/atardecer-de-los-andes-red-blend-2024.html
662,528,Vinho tinto espanhol,Viñapeña Tempranillo,Vermelho-rubi translúcido,Frutas negras como ameixa e amora,"Frutado, equilibrado e fácil de beber",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Saladas e aperitivos",Vinho tinto,750ml,Rolha,16,Espanha,Multirregional,12,Tempranillo,J. Garcia Carrion,,2025,,"Viñapeña é aquele Tempranillo que todo mundo ama: fácil de beber, de gostar e mais ainda de harmonizar. Feito pela vinícola J. Garcia Carrión, um ícone da Espanha, é o par perfeito pra noite de petiscos do fim de semana.",Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/vinapena-tempranillo-150731.html
663,529,Vinho tinto chileno,Isla Seca Winemaker Selection Carménère Central Valley D.O. 2024,Vermelho-rubi,Aromas de frutas vermelhas frescas e ameixas,"Harmonioso, fácil de beber e com taninos macios",3,1,2,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Chile,Valle Central,12.5,Carménère,Bodegas y Viñedos de Aguirre,2024,2025,,"O Valle Central é uma importante região vinícola do Chile, conhecida principalmente pelas condições climáticas singulares e a diversidade de solos que possui. Tal território foi escolhido pela Bodegas y Viñedos de Aguirre para dar vida a versão Carménère da linha Isla Seca Winemaker Selection. O resultado é um exemplar equilibrado, elegante e saboroso, com aromas intensos de frutas pretas maduras, além de toques de pimentão e especiarias. ",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/isla-seca-winemaker-selection-carmenere-central-valley-d-o-2024.html
665,542,Vinho tinto espanhol,Valtier Reserva Utiel-Requena DOP 2018,Vermelho-rubi com reflexos violáceos,"Ameixa madura, pimenta, tostado e especiarias","Encorpado, equilibrado, taninos macios e redondos",4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Utiel-Requena,13,"Tempranillo, Bobal",Marqués del Atrio,2018,2025,Estágio em barricas de carvalho americano,"A safra 2010 do Valtier fez muito sucesso por aqui, e me surpreendi ao ver que a qualidade permanece intacta na safra 2018. Produzido a partir das uvas Tempranillo e Bobal nos solos de Utiel-Requena, este espanhol entrega complexidade e maciez após estagiar em barricas de carvalho americano. É aconselhável decantar ou deixar meia horinha na taça antes de degustar.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/valtier-reserva-utiel-requena-dop-2018.html
666,590,Vinho branco espanhol,Gran Delmio Gran Selección Blanco,Amarelo-palha,Complexo e cítrico com toques de frutas brancas,Refrescante e vibrante com sabor frutado,3,1,3,1,"Frutos do mar, Saladas e aperitivos",Vinho branco,750ml,,8,Espanha,Castilha-La Mancha,11,Uvas variadas,Lozano,,2025,,"Originária da Espanha, a vinícola Juan Ramón Lozano apresenta esta versão de Gran Delmio, rótulo que exala elegância e frescor. Ao aproximar a taça no nariz, ele revela aromas de frutas cítricas, com toques de maçã e pêra, apresentando notas florais. Em boca ele é refrescante e vibrante, perfeito para ser apreciado em dias ensolarados.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/lozano-gran-delmio-blanco.html
667,543,Vinho tinto sul-africano,The African Horizon Pinotage Western Cape W.O. 2023,Vermelho-rubi ,"Notas de frutas vermelhas, como cereja e groselha, e especiarias","Frutado e suculento, ressaltando taninos macios e boa persistência",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Tampa de rosca,15,África do Sul,Western Cape,13,Pinotage,Origin Wine,2023,2025,,"Uva tinta mais famosa da África do Sul, a Pinotage é resultado da combinação entre as variedades francesas Pinot Noir e Cinsault. Caracterizada por originar exemplares distintivos e marcantes, esta expressão de African Horizon é um vinho que estimula até os paladares mais exigentes. Frutado e suculento, ele ressalta taninos macios e boa persistência em boca, enquanto revela notas de frutas vermelhas e especiarias ao olfato. Para uma experiência de degustação ainda melhor, nossa sugestão é apostar em carne moída com especiarias e frutas secas, arroz carreteiro e nhoque ao molho de tomate.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/origin-wine-the-african-horizon-syrah-202444.html
668,546,Vinho tinto espanhol,Castilla Real Tempranillo Crianza La Mancha D.O. 2019,Vermelho-rubi brilhante com leves reflexos granada,"Intenso, com notas de frutas vermelhas frescas como cereja, framboesa e morango, e nuances de alcaçuz, ervas frescas, coco e baunilha","Corpo médio, equilibrado, frutado e macio, com taninos sedosos e final longo",4,1,3,2,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Espanha,La Mancha,13.5,Tempranillo,Vinícola de Castilla,2019,2025,6 meses em barricas de carvalho americano,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/castilla-real-crianza-2019-319861.html
670,552,Espumante Branco francês,Première Bulle Blanquette de Limoux AOC Brut,Dourado pálido com perlages finos,Aromas delicados de frutas cítricas e flores brancas,"Vivaz e redondo, com textura agradável, notas frutadas e final longo",3,1,4,1,"Carnes brancas, Frutos do mar, Risoto e massas de molho branco, Saladas e aperitivos",Espumante Branco,750ml,Rolha de cortiça,6,França,Languedoc-Roussillon,12.5,"Mauzac, Chardonnay, Chenin Blanc",Sieur d'Arques,,2025,Envelhecimento sobre as borras por 18 meses,"Em 1531, monges beneditinos da Abadia de Saint-Hilaire, no Languedoc-Roussillon, produziram o primeiro vinho espumante, um Blanquette de Limoux. Inspirada pela história da “Primeira Bolha do Mundo” — ou “Premiere Bulle du Monde” em francês —, a vinícola Sieur D’Arques deu vida ao seu próprio espumante produzido nos emblemáticos solos de Limoux. Feito pelo método tradicional, no qual a segunda metade da fermentação acontece na garrafa, ele oferece paladar vivaz e redondo, acompanhado de aromas delicados de frutas cítricas e flores.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/premiere-bulle-n-1-blanquette-de-limoux-aoc-brut-2015-78681.html
672,555,Vinho tinto chileno,Candle Single Vineyard Cabernet Sauvignon 2024,Vermelho-rubi intenso,Frutas vermelhas maduras,"Macio, frutado, fácil de beber e agradável",4,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Chile,Valle Central,12.5,Cabernet Sauvignon,Bodegas y Viñedos de Aguirre,2024,2025,,"Com clima perfeito pro cultivo de diferentes variedades de uva, o Valle del Maule foi o palco escolhido pela Aura Wines pra elaboração de Candle Red Blend. O título Single Vineyard no rótulo significa que todas as uvas desse rótulo foram colhidas em um mesmo vinhedo, por isso, você sentirá em taça a tipicidade de um pedaço especial de terra do Chile.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/candle-cabernet-sauvignon-2024.html
673,581,Vinho tinto espanhol,Mirador de La Sierra Garnacha D.O. 2022,Vermelho-rubi com tons violáceos,"Aromas de frutas vermelhas, como framboesa e morango","Harmonioso e estruturado, com final longo e saboroso",4,1,3,3,"Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Espanha,Navarra,13.5,Garnacha,Bodegas Marco Real,2022,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/marco-real-mirador-sierra-tinto-garnacha-2022.html
674,556,Vinho tinto argentino,Finca Silverado Red Blend 2024,Vermelho-rubi intenso,"Aromas de frutas vermelhas e pretas maduras, especiarias, e notas florais","Corpo médio, com taninos maduros, acidez moderada, e nuances de cerejas, amoras e ameixas",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13,Uvas variadas,Belhara Estate,2024,2025,Estágio em barricas de carvalho francês,"Finca Silverado é um vinho que foi elaborado no Valle do Uco a partir de uvas colhidas manualmente. De caráter concentrado e expressivo, este blend apresenta corpo médio, taninos maduros, acidez moderada, e nuances de cerejas, amoras e ameixas em boca, além de aromas de frutas vermelhas e pretas maduras, especiarias, e notas florais.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/finca-silverado-red-blend-2024.html
675,565,Vinho tinto argentino,Las Colinas De Los Andes Red Blend 2023,Vermelho-rubi brilhante,"Frutas maduras como cereja, framboesa e toque de cassis","Equilibrado e frutado, com corpo médio e taninos aveludados",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12.5,Uvas variadas,Fecovita,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/las-colinas-de-los-andes-red-blend-2023.html
677,601,Vinho tinto chileno,San Nazareno Winemaker Selection Carménère 2024,Vermelho violeta intenso,Aromas de frutas vermelhas frescas e notas de ameixa,"Macio, com taninos maduros e bem integrados",4,1,3,3,"Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle del Maule,12.5,Carménère,Bodega Y Viñedos de Aguirre,2024,2027,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/bodega-y-vinedo-de-aguirre-san-nazareno-carmenere-2024.html
